filename,transcript,abs_start,abs_end,words,rel_start,rel_end,Is_Silent,transcript_no_punct,transcript_no_punct_corrected,transcript_cleaned,song_id,song_length,split,is_explicit
007c0152242340008ff45781a9b08546-25.wav,you been fucking with my dreams,89.93,92.872,"[{'word': 'been', 'start': 0.23, 'end': 0.346}, {'word': 'fucking', 'start': 0.461, 'end': 0.807}, {'word': 'with', 'start': 0.923, 'end': 1.211}, {'word': 'my', 'start': 1.384, 'end': 1.673}]",0.0,2.941999999999993,False,you been fucking with my dreams,you been fucking with my dreams,False,007c0152242340008ff45781a9b08546,132.59899999999988,train,True
00dfbe92cfd9443987631a3f548f79f1-21.wav,in the bitch wrinkle,107.034,108.089,"[{'word': 'the', 'start': 0.222, 'end': 0.389}, {'word': 'bitch', 'start': 0.389, 'end': 0.611}]",0.0,1.0549999999999926,False,in the bitch wrinkle,in the bitch wrinkle,False,00dfbe92cfd9443987631a3f548f79f1,91.61199999999994,train,True
010d11ec37bd468f93af7f87a54e69ac-15.wav,all the shit i seem to take,72.532,75.157,"[{'word': 'the', 'start': 0.375, 'end': 0.469}, {'word': 'shit', 'start': 0.562, 'end': 0.75}, {'word': 'i', 'start': 0.937, 'end': 1.219}, {'word': 'seem', 'start': 1.312, 'end': 1.594}, {'word': 'to', 'start': 1.687, 'end': 1.969}, {'word': 'take', 'start': 2.062, 'end': 2.625}]",0.0,2.625,False,all the shit i seem to take,all the shit i seem to take,False,010d11ec37bd468f93af7f87a54e69ac,183.2870000000001,train,True
010d11ec37bd468f93af7f87a54e69ac-34.wav,all the shit i seem to take,144.536,147.161,"[{'word': 'all', 'start': 0.0, 'end': 0.282}, {'word': 'the', 'start': 0.375, 'end': 0.469}, {'word': 'shit', 'start': 0.563, 'end': 0.75}, {'word': 'i', 'start': 0.938, 'end': 1.219}, {'word': 'seem', 'start': 1.313, 'end': 1.594}, {'word': 'to', 'start': 1.688, 'end': 1.969}]",0.0,2.625,False,all the shit i seem to take,all the shit i seem to take,False,010d11ec37bd468f93af7f87a54e69ac,183.2870000000001,train,True
010d11ec37bd468f93af7f87a54e69ac-52.wav,all the shit i seem to take,222.541,225.26,"[{'word': 'all', 'start': 0.0, 'end': 0.281}, {'word': 'the', 'start': 0.375, 'end': 0.469}, {'word': 'shit', 'start': 0.563, 'end': 0.75}, {'word': 'i', 'start': 0.938, 'end': 1.219}, {'word': 'seem', 'start': 1.313, 'end': 1.594}, {'word': 'to', 'start': 1.688, 'end': 1.969}]",0.0,2.718999999999994,False,all the shit i seem to take,all the shit i seem to take,False,010d11ec37bd468f93af7f87a54e69ac,183.2870000000001,train,True
010d11ec37bd468f93af7f87a54e69ac-60.wav,all the shit i seem to take,246.543,249.168,"[{'word': 'the', 'start': 0.375, 'end': 0.468}, {'word': 'shit', 'start': 0.562, 'end': 0.75}, {'word': 'i', 'start': 0.937, 'end': 1.218}, {'word': 'seem', 'start': 1.312, 'end': 1.594}, {'word': 'to', 'start': 1.687, 'end': 1.969}, {'word': 'take', 'start': 2.062, 'end': 2.625}]",0.0,2.625,False,all the shit i seem to take,all the shit i seem to take,False,010d11ec37bd468f93af7f87a54e69ac,183.2870000000001,train,True
018815908bd7487889b55ff8f1c1a201-10.wav,"kill your friend, i don`t care",68.932,71.466,"[{'word': 'kill', 'start': 0.0, 'end': 0.338}, {'word': 'your', 'start': 0.338, 'end': 0.676}, {'word': 'friend', 'start': 0.676, 'end': 1.182}, {'word': 'i', 'start': 1.351, 'end': 1.689}, {'word': 'dont', 'start': 1.689, 'end': 2.112}, {'word': 'care', 'start': 2.196, 'end': 2.534}]",0.0,2.533999999999992,False,kill your friend i dont care,kill your friend i don't care,True,018815908bd7487889b55ff8f1c1a201,89.02400000000011,train,True
018815908bd7487889b55ff8f1c1a201-20.wav,drunk with the blood of your victims,193.594,195.875,"[{'word': 'drunk', 'start': 0.0, 'end': 0.338}, {'word': 'with', 'start': 0.338, 'end': 0.676}, {'word': 'the', 'start': 0.676, 'end': 0.845}, {'word': 'blood', 'start': 0.845, 'end': 1.183}, {'word': 'of', 'start': 1.183, 'end': 1.436}, {'word': 'your', 'start': 1.436, 'end': 1.605}, {'word': 'victims', 'start': 1.689, 'end': 2.281}]",0.0,2.281000000000006,False,drunk with the blood of your victims,drunk with the blood of your victims,False,018815908bd7487889b55ff8f1c1a201,89.02400000000011,train,True
018815908bd7487889b55ff8f1c1a201-22.wav,"lust for fame, a deadly game",199.337,203.138,"[{'word': 'lust', 'start': 0.0, 'end': 0.338}, {'word': 'for', 'start': 0.338, 'end': 0.507}, {'word': 'fame', 'start': 0.507, 'end': 1.098}, {'word': 'a', 'start': 1.098, 'end': 1.352}, {'word': 'deadly', 'start': 1.436, 'end': 1.774}]",0.0,3.801000000000016,False,lust for fame a deadly game,lust for fame a deadly game,False,018815908bd7487889b55ff8f1c1a201,89.02400000000011,train,True
018815908bd7487889b55ff8f1c1a201-23.wav,"cursing, god, why",209.641,212.175,"[{'word': 'cursing', 'start': 0.0, 'end': 1.098}, {'word': 'god', 'start': 1.267, 'end': 1.774}]",0.0,2.53400000000002,False,cursing god why,cursing god why,False,018815908bd7487889b55ff8f1c1a201,89.02400000000011,train,True
