text,label
look was gonna easy not hurt feelings,0
but only going get this one chance six minutes six minutes,0
somethings wrong can feel six minutes slim shady,0
just feeling got like somethings about happen but dont know what,0
if that means what think means trouble big trouble,0
if is as bananas as say not taking any chances,0
are just what doc ordered,0
beginnin feel like rap god rap god,0
all people from front back nod back nod,0
now who thinks arms are long enough slap box slap box,0
said rap like robot call rapbot,0
but rap like computer must be genes,0
got laptop back pocket,0
penll off when halfcock,0
got fat knot from that rap profit,0
made livin killin off,0
ever since bill clinton was still office,0
monica lewinsky feelin nutsack,1
mc still as honest,0
but as rude as indecent as all,0
syllables skillaholic kill all,1
this flippity dippityhippity hiphop,0
dont really wanna get into pissin match,1
this rappity brat packin mac back ac,0
backpack rap crap yap yacketyyack,1
exact same time attempt these lyrical acrobat stunts while practicin that,0
still be able break motherfuckin table,1
over back couple faggots crack half,1
only realized was ironic was signed aftermath after fact,0
how could not blow all is drop fbombs,0
feel wrath attack,0
rappers are havin rough time period heres maxi pad,0
actually disastrously bad wack,0
while masterfully constructing this masterpiece,0
cause beginnin feel like rap god rap god,0
all people from front back nod back nod,0
now who thinks arms are long enough slap box slap box,0
let show maintainin this shit aint that hard that hard,1
everybody want key secret rap immortality like have got,0
be truthful blueprints,0
simply rage youthful exuberance,0
everybody loves root nuisance,0
hit earth like asteroid,0
did nothing but shoot moon since pew,0
mcs get taken school this music,0
cause use as vehicle bus rhyme,0
now lead new school full students,0
product rakim,0
lakim shabazz 2pac nwa cube hey doc ren,0
yella eazy thank got slim,0
inspired enough one day grow up blow up be position,0
meet rundmc induct,0
into motherfuckin rock roll hall fame,1
even though walk church burst ball flames,0
only hall fame be inducted is alcohol fame,0
wall shame,0
fags think all game til walk flock flames,1
off plank tell what fuck are thinkin,1
little gaylookin boy,0
gay can barely say straight face lookin boy,1
witnessin massoccur,0
like watching church gathering take place lookin boy,0
oy vey that boys gaythats all say lookin boy,1
get thumbs up pat back,0
way from label every day lookin boy,0
hey lookin boy what say lookin boy,0
get yeah from dre lookin boy,0
ima work everything have never asked nobody shit,1
get outta face lookin boy,0
basically boy never gonna be capable,0
keepin up same pace lookin boy cause,0
beginnin feel like rap god rap god,0
all people from front back nod back nod,0
way racin around track call nascar,0
dale earnhardt trailer park white trash god,0
kneel before general zod,0
this planets kryptonno asgard,0
be thor be odin,0
rodent omnipotent,0
let off then reloadin,0
immediately these bombs totin,0
should not be woken,0
walkin dead but just talkin head zombie floatin,0
but got mom deepthroatin,1
out ramen noodle,0
have nothin common poodle,0
doberman pinch arm pay homage pupil,0
honestys brutal,0
but honestly futile if dont utilize what though,0
good least once while,0
wanna make sure somewhere this chicken scratch scribble doodle enough rhymes,0
maybe try help get some people through tough times,0
but gotta keep few punchlines,0
just case cause even unsigned,0
rappers are hungry lookin like lunchtime,0
know there was time where once,0
was king underground,0
but still rap like pharoahe monch grind,0
crunch rhymes but sometimes when combine,0
appeal skin color,0
get too big here come tryin,0
censor like that one line,0
said back from mathers lp 1 when,0
tried say take seven kids from columbine,0
put all line add ak47 revolver 9,1
see if get away now that aint as big as was but,0
morphin into immortal comin through portal,0
stuck time warp from 2004 though,0
dont know what fuck that rhyme,1
pointless as rapunzel fuckin cornrows,1
write normal fuck being normal,1
just bought new raygun from future,0
just come shoot like when fabolous made ray j mad,0
cause fab said looked like fag mayweathers pad,1
singin man while played piano,0
man man that was 247 special cable channel,0
ray j went straight radio station,0
very next day hey fab ima kill,1
lyrics comin supersonic speed j fad,0
summalumma doomalumma assumin human,0
what gotta get through superhuman,0
innovative made rubber that anything say is ricochetin off glue,0
devastating more than ever demonstrating,0
how give motherfuckin audience feeling like levitating,1
never fading know haters are forever waiting,0
day that can say fell off be celebrating,0
cause know way get motivated,0
make elevating music make elevator music,0
too mainstream,0
thats what when get jealous confuse,0
not hiphop popcause found hella way fuse,0
rock shock rap doc,0
throw lose make lose,0
dont know how make songs like that,0
dont know what words use,0
let know when occurs,0
while rippin any one these verses that versus,0
curtains inadvertently hurtin,0
how many verses gotta murder,1
prove that if half as nice songs could sacrifice virgins too,0
school flunky pill junkie,1
but look accolades these skills brung,0
full but still hungry,0
bully cause make what put mind,0
million leagues above,0
when speak tongues but still tongueincheek fuck,1
drunk satan take fucking wheel,1
ima sleep front seat,0
bumpin heavy d boyz still chunky but funky,0
but head theres something can feel tugging struggling,0
angels fight devils heres what want from,0
