reference,prediction,wer
it's an illusion,it's an illusion,0.0
i could hold you,i could hold you,0.0
is burnin' to the ground,is burnin' to the ground,0.0
then you poured me my pain in a dirty glass,then you poured me my pain in a dirty glass,0.0
now i'm torn,now i'm torn,0.0
i need more of you're assistance now,i need more of you're assistance now,0.0
we'll be shooting stars just passing by,we'll be shooting stars just passing by,0.0
and so am i,and so am i,0.0
all the nights that i've missed you,all the nights that i've missed you,0.0
for this soon shall pass,for this soon shall pass,0.0
where are you now,where are you now,0.0
in the morning,in the morning,0.0
i don't even know,i don't even know,0.0
i love it when we're cruisin' together,i love it when we're cruisin' together,0.0
the warm water took me by surprise,the warm water took me by surprise,0.0
i am the passenger,i am the passenger,0.0
with no one to stay with,with no one to stay with,0.0
stuck on classic coke,stuck on classic coke,0.0
be mister please,be mister please,0.0
come on over,come on over,0.0
let me know,let me know,0.0
and in this moment i am happy,and in this moment i am happy,0.0
and all my friends don't give a fuck,and all my friends don't give a fuck,0.0
i know i've tried,i know i've tried,0.0
this is the last time,this is the last time,0.0
and i can't move on,and i can't move on,0.0
i am the passenger,i am the passenger,0.0
help me believe,help me believe,0.0
you won't let the night pass you by,you won't let the night pass you by,0.0
memories i will never find,memories i will never find,0.0
anybody can be a singer,anybody can be a singer,0.0
with forgiveness and love,with forgiveness and love,0.0
i won't stop until,i won't stop until,0.0
in this castle of glass,in this castle of glass,0.0
but she wears short skirts,but she wears short skirts,0.0
pull the tapeworm out of your ass hey,pull the tapeworm out of your ass hey,0.0
sound of breaking glass,sound of breaking glass,0.0
these feelings will be gone,these feelings will be gone,0.0
take me down but take it easy,take me down but take it easy,0.0
when i see her eyes,when i see her eyes,0.0
i used to be so strong,i used to be so strong,0.0
but don't give yourself away,but don't give yourself away,0.0
to a baby's cry,to a baby's cry,0.0
love will remember you,love will remember you,0.0
passing through you,passing through you,0.0
for the first time in my life,for the first time in my life,0.0
you passed me up,you passed me up,0.0
always comes before a fall,always comes before a fall,0.0
love you more than those bitches before,love you more than those bitches before,0.0
vivian put your glasses on,vivian put your glasses on,0.0
there's a memory inside my head,there's a memory inside my head,0.0
take me now baby here as i am,take me now baby here as i am,0.0
i'm over yesterday,i'm over yesterday,0.0
if you don't know me by now,if you don't know me by now,0.0
i just don't want you to do some crazy shit,i just don't want to do some crazy shit,0.1
give her all the love she gives to me,i give her all the love she gives to me,0.1111111111111111
she will go and set the world on fire,she will go and shut the world on fire,0.1111111111111111
were we used to raise a glass or two,there we used to raise a glass or two,0.1111111111111111
but she also keeps a cat or seven,but she also keeps a catch or seven,0.125
and it's because   i just don't feel it,and it's because i just don't feel like,0.125
'bout the love that he just found,all the love that he just found,0.14285714285714285
oh how the world seems so unfair,oh how the world seems so unfamiliar,0.14285714285714285
la la la la la la la,la la la la la la la la,0.14285714285714285
keep my glass full until morning light,give my glass full until morning light,0.14285714285714285
as in the ashes passion slowly dies,as in the ashes passion slower dies,0.14285714285714285
la la la la la la la,la la la la la la la lama,0.14285714285714285
we're beautiful like diamonds in the sky,were beautiful like diamonds in the sky,0.14285714285714285
i've got more than enough for you,i got more than enough for you,0.14285714285714285
counting all the assholes in the room,counting all the assols in the room,0.14285714285714285
but man he can suck a cock,but men he can suck a cock,0.14285714285714285
i love the sound of breaking glass,i love the sound with breaking glass,0.14285714285714285
she'll forget that you're a dick,you'll forget that you're a dick,0.16666666666666666
left me out in the cold,let me out in the cold,0.16666666666666666
and i heard everything now here,and i hurt everything now here,0.16666666666666666
and passed out on the plane,and passed out on the ground,0.16666666666666666
or waiting for tragedy to unfold,for waiting for tragedy to unfold,0.16666666666666666
for she's touched your perfect body,'cause she's touched your perfect body,0.16666666666666666
with the strength of your love,with the strength of your mind,0.16666666666666666
all the fucked up feelings again,ain't all the fucked up feelings again,0.16666666666666666
but i'll bet you want to,but i bet you want to,0.16666666666666666
you fuckin' suck my fuckin' cock,you fuckin' song my fuckin' cock,0.16666666666666666
lets me know that it's okay,lets me know that is okay,0.16666666666666666
fuck like it's our first time,like it's our first time,0.16666666666666666
all i want you to know,all i want you to,0.16666666666666666
but how can that be look what love gave us,but how can that be a look what long gave us,0.2
pour a glass of wine,for a glass of wine,0.2
i know we could win,i know we could wait,0.2
say down and cried today,sat down and cried today,0.2
they're watching you break down,watching you break down,0.2
of all you can be,and all you can be,0.2
you and me babe,you and me baby,0.25
is it a cockatoo,is in a cockatoo,0.25
you gotta keep smiling,you gotta keep smiling out,0.25
for what they've done,what they've done,0.25
hit the pedal once make the floor shake,put the paddle once make the floor shake,0.25
that shit was fat,that shit was bad,0.25
and i say hello,and i say love,0.25
full of big faces,you full of big faces,0.25
just like that they,just like that thing,0.25
this will be the day that i die,so be the day that i die,0.25
i'd tell you everything,i tell you everything,0.25
neatly in the corner,deeply in the corner,0.25
it's then i understand,it's that i understand,0.25
it breaks my heart to see you crying,it breaks my heart to see you cry and,0.25
i can't give you,i can give you,0.25
lost out in space,lost and in space,0.25
this will be the day that i die,so be the day that i die,0.25
can a blueprint to save us from all that we've become,can a blue print to save us from all that we've become alive,0.2727272727272727
fuck off i'm not listening to you,fuck off i'll not listen to you,0.2857142857142857
i'm so lonely listen to my heart,i'm so lonely so to my home,0.2857142857142857
but what's this shit you said about,but when the shit you said about,0.2857142857142857
you've got to learn how to see,you got to learn how to sing,0.2857142857142857
i don't want to be a hero,i don't wanna be a hero,0.2857142857142857
and i long for you to appear,and i hope for you to happen,0.2857142857142857
first to be the one to hear their blinding lies,first to be the one to view the blinding light,0.3
you and me against the world,you and mecause the world,0.3333333333333333
rocky mountain high,rocking mountain high,0.3333333333333333
when i see you after class,when i see you out,0.3333333333333333
how can you sleep at a time like this,how can sleep at a time,0.3333333333333333
sound the same,i'm the same,0.3333333333333333
it's all that we could do,it's all we can do,0.3333333333333333
fell in love with her eyes,and love with her eyes,0.3333333333333333
once more you tell those lies,once more you'd sell those lies,0.3333333333333333
it doesn't have to make any sense at all,it doesn't happen to make innocence at all,0.3333333333333333
like sweet sangria,like sweet sangree,0.3333333333333333
and it's funny how your thoughts,and it's funny how you saw,0.3333333333333333
cassius its over,cassius is over,0.3333333333333333
and we should be together babe,we should be together back,0.3333333333333333
i didn't know i was lost,didn't know i was lonely,0.3333333333333333
we're gonna fuck like it's our,we're gonna fuck like itself,0.3333333333333333
coming back home,counting back home,0.3333333333333333
won't you please,won't you be,0.3333333333333333
than the sun,and the sun,0.3333333333333333
just a little bit more passion,just a little in my passion,0.3333333333333333
the seasons pass,the seasons gone,0.3333333333333333
i'm not allowed to adore you,and not allow to adore you,0.3333333333333333
but my heart told my head,when my heart tore my head,0.3333333333333333
he sees things from under glass,he sees things from underclass,0.3333333333333333
feeling so holy,even so holy,0.3333333333333333
life    is much too short to be a drag,as much too short to be a chance,0.3333333333333333
all these roads steer me wrong,all these roads sing me wild,0.3333333333333333
i can still hear you saying,i can't still hear you say,0.3333333333333333
lonely isn't sad,slowly isn't sad,0.3333333333333333
damn i look just like my fucking dad,yeah i look just like my fuckin' day,0.375
can't you see that we love my cock,and you'll see that we love my god,0.375
how good life is now that you're gone,talkin' life is now that you're gonna,0.375
i said it's love you said all right,i said it's love and said alright,0.375
what they offered me to set me free,what they're for me to send me free,0.375
be good or be gone,be good or begun,0.4
some shit dont fly by,some shit don't fly,0.4
johnny i hardly knew ya,judy i hardly knew it,0.4
you're only just a dreamboat,you're only just a dream book,0.4
without you i'll never feel the love inside of me,without you and i feel the love inside it,0.4
can you take me higher,can you take me high up,0.4
into this world we're thrown,into this world with us,0.4
i can't figure out what,can't figure out for,0.4
and i don't feel like,and i don't see you like,0.4
a lover of the light,the lovers of the light,0.4
my best friend told me,my best friend don't mean,0.4
the day you came home,the day came wrong,0.4
short film passing my eyes,passing my eyes,0.4
we all enjoy the madness,we all enjoyed the magic,0.4
as the ground warms to the first rays of light,ask the ground walls to the first race of lights,0.4
that let you down so,i let you do so,0.4
my heart calls for love and devotion,my heart caused for love and evil shot,0.42857142857142855
if this was the thing to do,i'm just the thing to do,0.42857142857142855
this second chance i know won't last,the second chance i know will live,0.42857142857142855
my cock is much bigger than yours,i talk in much bigger than yours,0.42857142857142855
i can see the light is shining,i can't see the light,0.42857142857142855
you thought that i would need a crystal ball,you've thought that i don't need a christmas,0.4444444444444444
little boy blue and the man on the moon,little problem in the man of the moon,0.4444444444444444
but without you all i'm going to be is,out you all of going to be,0.4444444444444444
won't fuck us o ver i'm mis ter no vem ber,pull for yourself and i'm mis ter no vem ber,0.45454545454545453
couldn't see that it was not that way,you can see it was not that much,0.5
or rather i would get away,you're better i will get away,0.5
it's in your destiny,i send your destiny,0.5
he is goin' to kick your fuckin' ass,he's going to kick your fucking ass,0.5
i need to change this frequency,i need to change this freak would say,0.5
i wanna hold you wanna hold you tight,i wanna wanna wanna hold inside,0.5
to get the blood,to get in the blind,0.5
and you don't have to change a thing,and you don't have time to face,0.5
i was eager day time dreamer,i was seen at daytime dreamer,0.5
outdoor fucking starts today,outdoor fucking starts the day,0.5
with the guilt of a thousand awol soldiers,with the gilt up a thousand niggelstores,0.5
is here to set you free,is here too sad to free,0.5
all the club kids are watching,all the clock you're the watching,0.5
the information passing by,the insurmotion passin' by,0.5
for all the fighters,call the fighters,0.5
what ever may pass,whatever may pass,0.5
we don't say goodbye,we don't say good by,0.5
take my hand tonight,take our hands tonight,0.5
close my eyes and then it's almost like we fly,it's my eyes and lips almost like crack i,0.5
is it a cockatoo,is it a fucker tough,0.5
you can't play the victim this,you can't plan the big dot,0.5
it's so hard to be myself,and so hard it ain't myself,0.5
i wanna see you go down,i kiss you down,0.5
my star,my soul,0.5
like notes to a song out of time,like no two song out of town,0.5
i'd sell my soul,i've sold my soul,0.5
i ain't that dumb,i need that don't,0.5
reality in your eyes,reality and her eyes,0.5
oh  ho,oh oh,0.5
ow fuck,how fuck,0.5
to hide my shame,the hide my chain,0.5
there's a prophet on a mountain,there's a record on the magic,0.5
you had a boyfriend,and you had a punk,0.5
outdoor fucking starts today,i go fucking starts today,0.5
strangers in the night,changes in the lights,0.5
love is what you make it,novice would you make it,0.5
let your son grow,let your sun flow,0.5
and a nod to the bore dom that drove me here,and i'm not to the boy in the drout me here,0.5454545454545454
so who the hell are you tosave tosave me,to who the hell you're to save me,0.5555555555555556
and i've watched love pass you by,and i watched the passer by,0.5714285714285714
drill instructor tell me what to do,thrill and truck to tell me what to do,0.5714285714285714
is where i sleep i really feel,that's where i sleep i'd let it feel,0.5714285714285714
may be the chill the autumn brings,baby the chill the auten rains,0.5714285714285714
who will send our teacher's heart aflutter,who will send our tears back off mother,0.5714285714285714
put my trust in god that day,but my trust in god's today,0.5714285714285714
i heard it through the bass line,i'll let it go the bass rock,0.5714285714285714
until one bright morning when i woke,you're one by morning when i'm,0.5714285714285714
the day the music died,the music guy,0.6
you got to be bad,you're not to be best,0.6
i guess i'll never know,i can't ever know,0.6
so baby talk to me,nobody's up to me,0.6
there's nothing else to lose,there's no one else to live,0.6
no scars to your beautiful,no scarcing you beautiful,0.6
and it was all yellow,and there was a heart,0.6
we only sacrifice the future,we only said goodbyes with future,0.6
i took the wrong road,to the wrong wrong,0.6
what i want to feel,but i want you fast,0.6
and if i'm fanned out,and if i stand up,0.6
that you won't be in,that you are deep in the,0.6
of a thousand broken hearts,so the thousand broken eyes,0.6
'cause i've been so lonely,cause i feel so lonely,0.6
though i've tried to forget,for i try to forget,0.6
if it hurts i'll do whatever i can,and give it up to whatever i can,0.625
i'm not gonna be a part be a part of this,i'm not kind of bitch part for your part,0.6363636363636364
there's nothing here in this heart left to borrow,there's nothing here inside of tomorrow,0.6666666666666666
sail across the sea of light,across the sea in our eyes,0.6666666666666666
i will learn,i wanna love,0.6666666666666666
to know when love feels right,to know the fails why,0.6666666666666666
i need you,i really knew,0.6666666666666666
fucked up up it's all done,fucked up when he talked about,0.6666666666666666
open up your heart and just let it begin,i've been up your fined just letting begin,0.6666666666666666
how am i supposed to send this shit out,i must both have seen this shit out,0.6666666666666666
you sexy thing,you such a thing,0.6666666666666666
all i want,that i won't,0.6666666666666666
it's freaking out,it's breaking now,0.6666666666666666
noone else is livin' this way,no answers live in this way,0.6666666666666666
take me home,take me wrong out,0.6666666666666666
this is something i can't hide,this is song tonight at high,0.6666666666666666
well i rose and i rose,when i rose in our rooms,0.6666666666666666
crying you're sorry,crying your song,0.6666666666666666
get drunk and fuck and fight,and don't get fuck and fuck,0.6666666666666666
i could drown and still survive,i kept running still surviving,0.6666666666666666
loving you again,laughing you walk,0.6666666666666666
that's right put the pedal to the metal and go,slide the fiddle to the men' window,0.7
till the depths give up their dead,first to the next give up that day,0.7142857142857143
one night yeah and one more tiiime,one night i can't on my outside,0.7142857142857143
so i picked on you ooh ooh,so up it don't you oh  bout,0.7142857142857143
but in the end i'd be the,would it mean to be the,0.7142857142857143
and now i just cant hide it,and i can't forget,0.7142857142857143
i need more of you're assistance now,i'll give more of your sense than now,0.7142857142857143
no fit to fucking tread the ground there i'm walking on,i think your fuckin' tried the ground i'm fuckin' no,0.7272727272727273
i guess it was never meant to be,was never meant to be but to say,0.75
gotta keep you down,gotta kiss us,0.75
a peacebone got found,a peace won't go found,0.75
holding the other ooone,holding beyond the wall,0.75
open up my eyes,open the glass,0.75
too close to home,across the home,0.75
i have to speculate,why to have to regulate,0.75
a part of you that was just awaking,the body of you allows just a waking,0.75
and all my friends don't give a fuck,in all my friends to talk it by far,0.75
climb upon your star,lying upon yourself,0.75
it ain't my bitch,leave my bed,0.75
for what's inside awaking,before what's inside of it,0.75
waiting for the sunrise,fading all the sunlight,0.75
lucky to have stayed where we have stayed,lucky to  state the way,0.75
and get to work,i'm glad to learn,0.75
this newly impassioned soul,this is the really impassioned soul,0.75
the darkness around me,you don't miss around me,0.75
trying to be ordinary,trying to be old and hairy,0.75
the happiness it brings,for hoping this it brings,0.75
each one lining up to take it home,each one lying in a ticket hole,0.75
resting on the mountainside,rising on the mountain's own,0.75
we're the cruel regulators,oh they're the cruel regulator,0.75
but here i lie,but you're another,0.75
they've been taken away,i've been hanging around,0.75
it's gone daddy gone the love is gone,it's gone that it's gonna be strong,0.75
so let me be,so like it,0.75
if we wona take our love away from here,if we want to take another way for me,0.7777777777777778
black coat white shoes black hat cad i llac,black hope i choose black and red light,0.7777777777777778
but it rang and rang,but fanning about,0.8
it's not your fault yeah,let's watch your burnin' hair,0.8
and now we're in it,never came in,0.8
but it's just another pretty,what it's yesterday,0.8
i don't have the right,i'll have a ride,0.8
we're walkin' hand in hand,don't walkin' out a nigg,0.8
that tells you to stop,else you just know,0.8
somethin' about you is so,some bit about you,0.8
got me stuck in a rut you're made for me,i keep alright you made for me how,0.8
no religion or mind virus,no iligence are mine forever,0.8
spend until the last dime,bend the needle outside,0.8
we'll never feel bad anymore,we'll never leave my line alone,0.8
your love shines the way,lost by the wind,0.8
for you donna kimi mo,for you don't let you move,0.8
hotshot give me no problems,i tried to give me no promise,0.8
change my mind and it leads me to a new disease,can't die but it's still he comes to new es,0.8181818181818182
